Country,date,Highest_infected_population,Population,Total_cases_percentage
Andorra,2021-06-07,13777,77265,17.83
Andorra,2021-06-04,13758,77265,17.81
Andorra,2021-06-05,13758,77265,17.81
Andorra,2021-06-06,13758,77265,17.81
Andorra,2021-06-03,13752,77265,17.80
Andorra,2021-06-02,13744,77265,17.79
Andorra,2021-05-31,13727,77265,17.77
Andorra,2021-06-01,13729,77265,17.77
Andorra,2021-05-28,13693,77265,17.72
Andorra,2021-05-29,13693,77265,17.72
Andorra,2021-05-30,13693,77265,17.72
Andorra,2021-05-27,13682,77265,17.71
Andorra,2021-05-26,13671,77265,17.69
Andorra,2021-05-25,13664,77265,17.68
Andorra,2021-05-18,13569,77265,17.56
Andorra,2021-05-19,13569,77265,17.56
Andorra,2021-05-20,13569,77265,17.56
Andorra,2021-05-21,13569,77265,17.56
Andorra,2021-05-22,13569,77265,17.56
Andorra,2021-05-23,13569,77265,17.56
Andorra,2021-05-24,13569,77265,17.56
Andorra,2021-05-17,13555,77265,17.54
Andorra,2021-05-14,13510,77265,17.49
Andorra,2021-05-15,13510,77265,17.49
Andorra,2021-05-16,13510,77265,17.49
Andorra,2021-05-12,13470,77265,17.43
Andorra,2021-05-13,13470,77265,17.43
Andorra,2021-05-11,13447,77265,17.40
Andorra,2021-05-10,13429,77265,17.38
Andorra,2021-05-09,13423,77265,17.37
Andorra,2021-05-08,13406,77265,17.35
Andorra,2021-05-07,13390,77265,17.33
Andorra,2021-05-06,13363,77265,17.30
Andorra,2021-05-05,13340,77265,17.27
Andorra,2021-05-04,13316,77265,17.23
Andorra,2021-05-03,13295,77265,17.21
Andorra,2021-05-02,13282,77265,17.19
Andorra,2021-04-30,13232,77265,17.13
Andorra,2021-05-01,13232,77265,17.13
Andorra,2021-04-29,13198,77265,17.08
Andorra,2021-04-28,13148,77265,17.02
Andorra,2021-04-27,13121,77265,16.98
Andorra,2021-04-26,13083,77265,16.93
Andorra,2021-04-25,13060,77265,16.90
Andorra,2021-04-24,13024,77265,16.86
Andorra,2021-04-23,13007,77265,16.83
Andorra,2021-04-22,12942,77265,16.75
Andorra,2021-04-21,12917,77265,16.72
Andorra,2021-04-20,12874,77265,16.66
Andorra,2021-04-18,12805,77265,16.57
Andorra,2021-04-19,12805,77265,16.57
Andorra,2021-04-17,12771,77265,16.53
Andorra,2021-04-16,12712,77265,16.45
Andorra,2021-04-14,12641,77265,16.36
Andorra,2021-04-15,12641,77265,16.36
Andorra,2021-04-13,12614,77265,16.33
Andorra,2021-04-12,12581,77265,16.28
Andorra,2021-04-11,12545,77265,16.24
Andorra,2021-04-10,12497,77265,16.17
Andorra,2021-04-09,12456,77265,16.12
Andorra,2021-04-08,12409,77265,16.06
Andorra,2021-04-07,12363,77265,16.00
Andorra,2021-04-06,12328,77265,15.96
Andorra,2021-04-05,12286,77265,15.90
Montenegro,2021-06-07,99834,628062,15.90
Montenegro,2021-06-05,99791,628062,15.89
Montenegro,2021-06-06,99812,628062,15.89
Montenegro,2021-06-03,99717,628062,15.88
Montenegro,2021-06-04,99758,628062,15.88
Montenegro,2021-06-01,99652,628062,15.87
Montenegro,2021-06-02,99683,628062,15.87
Montenegro,2021-05-30,99605,628062,15.86
Montenegro,2021-05-31,99623,628062,15.86
Montenegro,2021-05-28,99518,628062,15.85
Montenegro,2021-05-29,99566,628062,15.85
Montenegro,2021-05-27,99477,628062,15.84
Montenegro,2021-05-26,99425,628062,15.83
Andorra,2021-04-04,12231,77265,15.83
Montenegro,2021-05-25,99358,628062,15.82
Montenegro,2021-05-24,99291,628062,15.81
Montenegro,2021-05-22,99203,628062,15.80
Montenegro,2021-05-23,99248,628062,15.80
Montenegro,2021-05-21,99153,628062,15.79
Montenegro,2021-05-20,99098,628062,15.78
Montenegro,2021-05-19,99031,628062,15.77
Montenegro,2021-05-18,98971,628062,15.76
Andorra,2021-04-03,12174,77265,15.76
Montenegro,2021-05-17,98898,628062,15.75
Montenegro,2021-05-16,98852,628062,15.74
Montenegro,2021-05-15,98778,628062,15.73
Montenegro,2021-05-14,98703,628062,15.72
Montenegro,2021-05-13,98619,628062,15.70
Montenegro,2021-05-12,98546,628062,15.69
Montenegro,2021-05-11,98449,628062,15.68
Andorra,2021-04-02,12115,77265,15.68
Montenegro,2021-05-10,98365,628062,15.66
Montenegro,2021-05-09,98303,628062,15.65
Montenegro,2021-05-08,98237,628062,15.64
Montenegro,2021-05-07,98142,628062,15.63
Montenegro,2021-05-06,98042,628062,15.61
Andorra,2021-04-01,12053,77265,15.60
Montenegro,2021-05-05,97930,628062,15.59
Montenegro,2021-05-04,97813,628062,15.57
Montenegro,2021-05-03,97718,628062,15.56
Montenegro,2021-05-02,97619,628062,15.54
Andorra,2021-03-31,12010,77265,15.54
Czechia,2021-06-03,1662608,10708982,15.53
Czechia,2021-06-04,1663040,10708982,15.53
Czechia,2021-06-05,1663363,10708982,15.53
Czechia,2021-06-06,1663517,10708982,15.53
Czechia,2021-06-07,1663607,10708982,15.53
Montenegro,2021-05-01,97517,628062,15.53
Czechia,2021-06-01,1661780,10708982,15.52
Czechia,2021-06-02,1662256,10708982,15.52
Czechia,2021-05-28,1660481,10708982,15.51
Czechia,2021-05-29,1660935,10708982,15.51
Czechia,2021-05-30,1661159,10708982,15.51
Czechia,2021-05-31,1661272,10708982,15.51
Montenegro,2021-04-30,97389,628062,15.51
Czechia,2021-05-26,1659433,10708982,15.50
Czechia,2021-05-27,1659980,10708982,15.50
Czechia,2021-05-25,1658778,10708982,15.49
Montenegro,2021-04-29,97257,628062,15.49
Czechia,2021-05-22,1657558,10708982,15.48
Czechia,2021-05-23,1657893,10708982,15.48
Czechia,2021-05-24,1658092,10708982,15.48
Czechia,2021-05-20,1656202,10708982,15.47
Czechia,2021-05-21,1656874,10708982,15.47
Czechia,2021-05-19,1655414,10708982,15.46
Andorra,2021-03-30,11944,77265,15.46
Montenegro,2021-04-28,97080,628062,15.46
Czechia,2021-05-18,1654219,10708982,15.45
Czechia,2021-05-17,1653099,10708982,15.44
Czechia,2021-05-15,1652238,10708982,15.43
Czechia,2021-05-16,1652840,10708982,15.43
Montenegro,2021-04-27,96930,628062,15.43
Czechia,2021-05-14,1651178,10708982,15.42
Czechia,2021-05-13,1649947,10708982,15.41
Montenegro,2021-04-26,96779,628062,15.41
Czechia,2021-05-12,1648667,10708982,15.40
Andorra,2021-03-29,11888,77265,15.39
Montenegro,2021-04-25,96660,628062,15.39
Czechia,2021-05-11,1646981,10708982,15.38
Czechia,2021-05-10,1645448,10708982,15.37
Czechia,2021-05-09,1645061,10708982,15.36
Montenegro,2021-04-24,96499,628062,15.36
Czechia,2021-05-08,1644335,10708982,15.35
Czechia,2021-05-07,1642696,10708982,15.34
Andorra,2021-03-28,11850,77265,15.34
Montenegro,2021-04-23,96348,628062,15.34
Czechia,2021-05-06,1641120,10708982,15.32
Czechia,2021-05-05,1639248,10708982,15.31
Montenegro,2021-04-22,96187,628062,15.31
Montenegro,2021-04-21,96048,628062,15.29
Czechia,2021-05-04,1636836,10708982,15.28
Andorra,2021-03-27,11809,77265,15.28
Montenegro,2021-04-20,95894,628062,15.27
Czechia,2021-05-02,1634114,10708982,15.26
Czechia,2021-05-03,1634619,10708982,15.26
Czechia,2021-05-01,1632932,10708982,15.25
Montenegro,2021-04-19,95695,628062,15.24
Czechia,2021-04-30,1630758,10708982,15.23
Czechia,2021-04-29,1628536,10708982,15.21
Montenegro,2021-04-18,95551,628062,15.21
Montenegro,2021-04-17,95377,628062,15.19
Czechia,2021-04-28,1626033,10708982,15.18
Andorra,2021-03-26,11732,77265,15.18
Montenegro,2021-04-16,95205,628062,15.16
Czechia,2021-04-27,1622777,10708982,15.15
Czechia,2021-04-26,1620206,10708982,15.13
Andorra,2021-03-25,11687,77265,15.13
Montenegro,2021-04-15,95042,628062,15.13
Czechia,2021-04-25,1619383,10708982,15.12
Czechia,2021-04-24,1618068,10708982,15.11
Montenegro,2021-04-14,94859,628062,15.10
Czechia,2021-04-23,1615461,10708982,15.09
Montenegro,2021-04-13,94643,628062,15.07
Czechia,2021-04-22,1612832,10708982,15.06
Andorra,2021-03-24,11638,77265,15.06
Czechia,2021-04-21,1609861,10708982,15.03
Montenegro,2021-04-12,94419,628062,15.03
Montenegro,2021-04-11,94269,628062,15.01
"San Marino",2021-05-24,5089,33938,15.00
"San Marino",2021-05-25,5089,33938,15.00
"San Marino",2021-05-26,5089,33938,15.00
"San Marino",2021-05-27,5089,33938,15.00
"San Marino",2021-05-28,5089,33938,15.00
"San Marino",2021-05-29,5089,33938,15.00
"San Marino",2021-05-30,5089,33938,15.00
"San Marino",2021-05-31,5090,33938,15.00
"San Marino",2021-06-01,5090,33938,15.00
"San Marino",2021-06-02,5090,33938,15.00
"San Marino",2021-06-03,5090,33938,15.00
"San Marino",2021-06-04,5090,33938,15.00
"San Marino",2021-06-05,5090,33938,15.00
"San Marino",2021-06-06,5090,33938,15.00
"San Marino",2021-06-07,5090,33938,15.00
Czechia,2021-04-20,1606030,10708982,15.00
Andorra,2021-03-23,11591,77265,15.00
"San Marino",2021-05-17,5087,33938,14.99
"San Marino",2021-05-18,5087,33938,14.99
"San Marino",2021-05-19,5087,33938,14.99
"San Marino",2021-05-20,5087,33938,14.99
"San Marino",2021-05-21,5087,33938,14.99
"San Marino",2021-05-22,5087,33938,14.99
"San Marino",2021-05-23,5087,33938,14.99
"San Marino",2021-05-10,5083,33938,14.98
"San Marino",2021-05-11,5083,33938,14.98
"San Marino",2021-05-12,5083,33938,14.98
"San Marino",2021-05-13,5083,33938,14.98
"San Marino",2021-05-14,5083,33938,14.98
"San Marino",2021-05-15,5083,33938,14.98
"San Marino",2021-05-16,5083,33938,14.98
Montenegro,2021-04-10,94035,628062,14.97
Czechia,2021-04-19,1602711,10708982,14.97
Czechia,2021-04-18,1601881,10708982,14.96
Czechia,2021-04-17,1600341,10708982,14.94
Andorra,2021-03-22,11545,77265,14.94
Montenegro,2021-04-09,93803,628062,14.94
"San Marino",2021-04-30,5066,33938,14.93
"San Marino",2021-05-01,5066,33938,14.93
"San Marino",2021-05-02,5066,33938,14.93
"San Marino",2021-05-03,5067,33938,14.93
"San Marino",2021-05-04,5067,33938,14.93
"San Marino",2021-05-05,5067,33938,14.93
"San Marino",2021-05-06,5067,33938,14.93
"San Marino",2021-05-07,5067,33938,14.93
"San Marino",2021-05-08,5067,33938,14.93
"San Marino",2021-05-09,5067,33938,14.93
"San Marino",2021-04-28,5059,33938,14.91
"San Marino",2021-04-29,5060,33938,14.91
Andorra,2021-03-21,11517,77265,14.91
Czechia,2021-04-16,1597103,10708982,14.91
"San Marino",2021-04-27,5058,33938,14.90
Montenegro,2021-04-08,93566,628062,14.90
"San Marino",2021-04-26,5055,33938,14.89
Czechia,2021-04-15,1593847,10708982,14.88
"San Marino",2021-04-22,5045,33938,14.87
"San Marino",2021-04-23,5047,33938,14.87
"San Marino",2021-04-24,5047,33938,14.87
"San Marino",2021-04-25,5047,33938,14.87
"San Marino",2021-04-21,5044,33938,14.86
Montenegro,2021-04-07,93309,628062,14.86
Andorra,2021-03-20,11481,77265,14.86
Czechia,2021-04-14,1590124,10708982,14.85
Bahrain,2021-06-07,252600,1701583,14.85
"San Marino",2021-04-20,5040,33938,14.85
"San Marino",2021-04-19,5030,33938,14.82
"San Marino",2021-04-17,5026,33938,14.81
"San Marino",2021-04-18,5026,33938,14.81
Montenegro,2021-04-06,93030,628062,14.81
Czechia,2021-04-13,1585037,10708982,14.80
Andorra,2021-03-19,11431,77265,14.79
"San Marino",2021-04-16,5016,33938,14.78
Montenegro,2021-04-05,92740,628062,14.77
Czechia,2021-04-12,1581184,10708982,14.77
Czechia,2021-04-11,1580189,10708982,14.76
Bahrain,2021-06-06,251078,1701583,14.76
"San Marino",2021-04-15,5010,33938,14.76
Andorra,2021-03-18,11393,77265,14.75
Czechia,2021-04-10,1577972,10708982,14.74
"San Marino",2021-04-14,5004,33938,14.74
Montenegro,2021-04-04,92519,628062,14.73
Andorra,2021-03-17,11360,77265,14.70
Czechia,2021-04-09,1573153,10708982,14.69
"San Marino",2021-04-13,4985,33938,14.69
Montenegro,2021-04-03,92222,628062,14.68
Bahrain,2021-06-05,249582,1701583,14.67
Andorra,2021-03-16,11319,77265,14.65
Czechia,2021-04-08,1567848,10708982,14.64
Montenegro,2021-04-02,91906,628062,14.63
"San Marino",2021-04-12,4962,33938,14.62
Andorra,2021-03-15,11289,77265,14.61
"San Marino",2021-04-10,4956,33938,14.60
"San Marino",2021-04-11,4956,33938,14.60
Montenegro,2021-04-01,91573,628062,14.58
Andorra,2021-03-14,11266,77265,14.58
Bahrain,2021-06-04,248150,1701583,14.58
Czechia,2021-04-07,1560777,10708982,14.57
"San Marino",2021-04-09,4944,33938,14.57
"San Marino",2021-04-08,4932,33938,14.53
Andorra,2021-03-13,11228,77265,14.53
Czechia,2021-04-06,1555245,10708982,14.52
Montenegro,2021-03-31,91218,628062,14.52
Czechia,2021-04-05,1553820,10708982,14.51
Bahrain,2021-06-03,246658,1701583,14.50
Czechia,2021-04-04,1551896,10708982,14.49
Andorra,2021-03-12,11199,77265,14.49
Czechia,2021-04-03,1549734,10708982,14.47
Montenegro,2021-03-30,90832,628062,14.46
"San Marino",2021-04-07,4904,33938,14.45
Czechia,2021-04-02,1545865,10708982,14.44
Andorra,2021-03-10,11130,77265,14.41
Andorra,2021-03-11,11130,77265,14.41
Montenegro,2021-03-29,90418,628062,14.40
Czechia,2021-04-01,1539617,10708982,14.38
Bahrain,2021-06-02,244726,1701583,14.38
Andorra,2021-03-09,11089,77265,14.35
Montenegro,2021-03-28,90083,628062,14.34
"San Marino",2021-04-06,4864,33938,14.33
Andorra,2021-03-08,11069,77265,14.33
Czechia,2021-03-31,1532332,10708982,14.31
Andorra,2021-03-07,11042,77265,14.29
Montenegro,2021-03-27,89732,628062,14.29
Bahrain,2021-06-01,242790,1701583,14.27
Andorra,2021-03-06,11019,77265,14.26
Andorra,2021-03-05,10998,77265,14.23
Czechia,2021-03-30,1523668,10708982,14.23
Montenegro,2021-03-26,89363,628062,14.23
Andorra,2021-03-04,10976,77265,14.21
Andorra,2021-03-03,10948,77265,14.17
Montenegro,2021-03-25,88991,628062,14.17
Czechia,2021-03-29,1516772,10708982,14.16
Czechia,2021-03-28,1515029,10708982,14.15
Bahrain,2021-05-31,240531,1701583,14.14
Andorra,2021-03-02,10908,77265,14.12
Czechia,2021-03-27,1511021,10708982,14.11
Montenegro,2021-03-24,88550,628062,14.10
Andorra,2021-03-01,10889,77265,14.09
"San Marino",2021-04-02,4775,33938,14.07
"San Marino",2021-04-03,4775,33938,14.07
"San Marino",2021-04-04,4775,33938,14.07
"San Marino",2021-04-05,4775,33938,14.07
Andorra,2021-02-28,10866,77265,14.06
Andorra,2021-02-27,10849,77265,14.04
Czechia,2021-03-26,1503307,10708982,14.04
Montenegro,2021-03-23,88116,628062,14.03
Andorra,2021-02-26,10822,77265,14.01
Bahrain,2021-05-30,238156,1701583,14.00
Andorra,2021-02-25,10799,77265,13.98
Czechia,2021-03-25,1495361,10708982,13.96
Andorra,2021-02-24,10775,77265,13.95
Montenegro,2021-03-22,87638,628062,13.95
"San Marino",2021-03-31,4730,33938,13.94
"San Marino",2021-04-01,4730,33938,13.94
Andorra,2021-02-23,10739,77265,13.90
Montenegro,2021-03-21,87212,628062,13.89
Czechia,2021-03-24,1486510,10708982,13.88
Andorra,2021-02-22,10712,77265,13.86
Andorra,2021-02-21,10699,77265,13.85
Bahrain,2021-05-29,235698,1701583,13.85
Montenegro,2021-03-20,86782,628062,13.82
Andorra,2021-02-20,10672,77265,13.81
Andorra,2021-02-19,10645,77265,13.78
Czechia,2021-03-23,1475538,10708982,13.78
"San Marino",2021-03-30,4678,33938,13.78
Montenegro,2021-03-19,86282,628062,13.74
Andorra,2021-02-18,10610,77265,13.73
Czechia,2021-03-21,1469547,10708982,13.72
Czechia,2021-03-22,1467333,10708982,13.70
Andorra,2021-02-17,10583,77265,13.70
Andorra,2021-02-16,10555,77265,13.66
Bahrain,2021-05-28,232425,1701583,13.66
Montenegro,2021-03-18,85774,628062,13.66
"San Marino",2021-03-29,4631,33938,13.65
Andorra,2021-02-15,10538,77265,13.64
Czechia,2021-03-20,1459406,10708982,13.63
Andorra,2021-02-14,10503,77265,13.59
Montenegro,2021-03-17,85253,628062,13.57
"San Marino",2021-03-27,4603,33938,13.56
"San Marino",2021-03-28,4603,33938,13.56
Andorra,2021-02-13,10463,77265,13.54
Czechia,2021-03-19,1449696,10708982,13.54
Andorra,2021-02-12,10427,77265,13.50
Bahrain,2021-05-27,229468,1701583,13.49
Montenegro,2021-03-16,84700,628062,13.49
Andorra,2021-02-11,10391,77265,13.45
Czechia,2021-03-18,1439019,10708982,13.44
Andorra,2021-02-10,10352,77265,13.40
Montenegro,2021-03-15,84163,628062,13.40
"San Marino",2021-03-26,4547,33938,13.40
Andorra,2021-02-09,10312,77265,13.35
Czechia,2021-03-17,1426991,10708982,13.33
Montenegro,2021-03-14,83693,628062,13.33
Bahrain,2021-05-26,226416,1701583,13.31
Andorra,2021-02-08,10275,77265,13.30
Andorra,2021-02-07,10251,77265,13.27
Montenegro,2021-03-13,83165,628062,13.24
"San Marino",2021-03-24,4484,33938,13.21
"San Marino",2021-03-25,4484,33938,13.21
Andorra,2021-02-06,10206,77265,13.21
Czechia,2021-03-16,1412962,10708982,13.19
Andorra,2021-02-05,10172,77265,13.17
Montenegro,2021-03-12,82610,628062,13.15
Bahrain,2021-05-25,223613,1701583,13.14
Andorra,2021-02-04,10137,77265,13.12
Czechia,2021-03-15,1402420,10708982,13.10
Czechia,2021-03-14,1399078,10708982,13.06
Montenegro,2021-03-11,82029,628062,13.06
"San Marino",2021-03-23,4432,33938,13.06
Andorra,2021-02-03,10070,77265,13.03
Czechia,2021-03-13,1392108,10708982,13.00
Bahrain,2021-05-24,220847,1701583,12.98
Montenegro,2021-03-10,81457,628062,12.97
Andorra,2021-02-02,10017,77265,12.96
"San Marino",2021-03-22,4388,33938,12.93
Andorra,2021-02-01,9972,77265,12.91
Montenegro,2021-03-09,80803,628062,12.87
Andorra,2021-01-31,9937,77265,12.86
Czechia,2021-03-12,1376998,10708982,12.86
"San Marino",2021-03-20,4356,33938,12.84
"San Marino",2021-03-21,4356,33938,12.84
Bahrain,2021-05-23,218047,1701583,12.81
Andorra,2021-01-30,9885,77265,12.79
Montenegro,2021-03-08,80191,628062,12.77
"San Marino",2021-03-19,4328,33938,12.75
Czechia,2021-03-11,1365724,10708982,12.75
Andorra,2021-01-29,9837,77265,12.73
Montenegro,2021-03-07,79774,628062,12.70
Seychelles,2021-06-07,12466,98340,12.68
Maldives,2021-06-07,68502,540542,12.67
Andorra,2021-01-28,9779,77265,12.66
"San Marino",2021-03-18,4292,33938,12.65
Bahrain,2021-05-22,214870,1701583,12.63
Czechia,2021-03-10,1351195,10708982,12.62
Montenegro,2021-03-06,79237,628062,12.62
Maldives,2021-06-06,67950,540542,12.57
Andorra,2021-01-27,9716,77265,12.57
"San Marino",2021-03-17,4249,33938,12.52
Montenegro,2021-03-05,78634,628062,12.52
Maldives,2021-06-05,67538,540542,12.49
Andorra,2021-01-26,9638,77265,12.47
Czechia,2021-03-09,1335815,10708982,12.47
Bahrain,2021-05-21,212151,1701583,12.47
Montenegro,2021-03-04,78060,628062,12.43
Andorra,2021-01-25,9596,77265,12.42
Maldives,2021-06-04,66948,540542,12.39
"San Marino",2021-03-16,4204,33938,12.39
Czechia,2021-03-08,1325291,10708982,12.38
Andorra,2021-01-24,9549,77265,12.36
Seychelles,2021-06-04,12158,98340,12.36
Seychelles,2021-06-05,12158,98340,12.36
Seychelles,2021-06-06,12158,98340,12.36
Montenegro,2021-03-03,77493,628062,12.34
Czechia,2021-03-07,1321331,10708982,12.34
Maldives,2021-06-03,66516,540542,12.31
Bahrain,2021-05-20,209293,1701583,12.30
Andorra,2021-01-23,9499,77265,12.29
Slovenia,2021-06-07,255432,2078932,12.29
Slovenia,2021-06-05,255218,2078932,12.28
Slovenia,2021-06-06,255375,2078932,12.28
Slovenia,2021-06-04,254973,2078932,12.26
Slovenia,2021-06-03,254692,2078932,12.25
Czechia,2021-03-06,1312164,10708982,12.25
Slovenia,2021-06-02,254419,2078932,12.24
Montenegro,2021-03-02,76868,628062,12.24
"San Marino",2021-03-15,4151,33938,12.23
Slovenia,2021-06-01,254045,2078932,12.22
Slovenia,2021-05-30,253631,2078932,12.20
Slovenia,2021-05-31,253722,2078932,12.20
Slovenia,2021-05-29,253493,2078932,12.19
Andorra,2021-01-22,9416,77265,12.19
Maldives,2021-06-02,65868,540542,12.19
Slovenia,2021-05-28,253140,2078932,12.18
Slovenia,2021-05-27,252848,2078932,12.16
"San Marino",2021-03-13,4126,33938,12.16
"San Marino",2021-03-14,4126,33938,12.16
Bahrain,2021-05-19,206878,1701583,12.16
Slovenia,2021-05-26,252486,2078932,12.15
Montenegro,2021-03-01,76283,628062,12.15
Andorra,2021-01-21,9379,77265,12.14
Czechia,2021-03-05,1299002,10708982,12.13
Slovenia,2021-05-25,252098,2078932,12.13
Slovenia,2021-05-23,251690,2078932,12.11
Slovenia,2021-05-24,251773,2078932,12.11
Slovenia,2021-05-22,251531,2078932,12.10
Slovenia,2021-05-21,251148,2078932,12.08
Montenegro,2021-02-28,75834,628062,12.07
"San Marino",2021-03-12,4096,33938,12.07
Maldives,2021-06-01,65164,540542,12.06
Slovenia,2021-05-20,250811,2078932,12.06
Slovenia,2021-05-19,250453,2078932,12.05
Andorra,2021-01-20,9308,77265,12.05
Bahrain,2021-05-18,204524,1701583,12.02
Slovenia,2021-05-18,249921,2078932,12.02
Slovenia,2021-05-17,249424,2078932,12.00
Slovenia,2021-05-16,249310,2078932,11.99
Montenegro,2021-02-27,75332,628062,11.99
Czechia,2021-03-04,1284288,10708982,11.99
Slovenia,2021-05-15,249014,2078932,11.98
"San Marino",2021-03-11,4062,33938,11.97
Slovenia,2021-05-14,248520,2078932,11.95
Slovenia,2021-05-13,248046,2078932,11.93
Maldives,2021-05-31,64396,540542,11.91
Montenegro,2021-02-26,74789,628062,11.91
Bahrain,2021-05-17,202556,1701583,11.90
Andorra,2021-01-19,9194,77265,11.90
Slovenia,2021-05-12,247449,2078932,11.90
Slovenia,2021-05-11,246725,2078932,11.87
"San Marino",2021-03-10,4030,33938,11.87
Czechia,2021-03-03,1269058,10708982,11.85
Slovenia,2021-05-09,246082,2078932,11.84
Slovenia,2021-05-10,246231,2078932,11.84
Seychelles,2021-05-31,11621,98340,11.82
Seychelles,2021-06-01,11621,98340,11.82
Seychelles,2021-06-02,11621,98340,11.82
Seychelles,2021-06-03,11621,98340,11.82
Slovenia,2021-05-08,245793,2078932,11.82
Bahrain,2021-05-16,200977,1701583,11.81
Montenegro,2021-02-25,74183,628062,11.81
Slovenia,2021-05-07,245159,2078932,11.79
Maldives,2021-05-30,63686,540542,11.78
Slovenia,2021-05-06,244556,2078932,11.76
Andorra,2021-01-17,9083,77265,11.76
Andorra,2021-01-18,9083,77265,11.76
"San Marino",2021-03-09,3984,33938,11.74
Montenegro,2021-02-24,73612,628062,11.72
Slovenia,2021-05-05,243719,2078932,11.72
Andorra,2021-01-16,9038,77265,11.70
Bahrain,2021-05-15,199093,1701583,11.70
Czechia,2021-03-02,1252242,10708982,11.69
Slovenia,2021-05-04,242777,2078932,11.68
Slovenia,2021-05-03,241883,2078932,11.64
Maldives,2021-05-29,62906,540542,11.64
Montenegro,2021-02-23,72969,628062,11.62
Slovenia,2021-05-02,241672,2078932,11.62
Slovenia,2021-05-01,241309,2078932,11.61
Bahrain,2021-05-14,197474,1701583,11.61
"San Marino",2021-03-08,3935,33938,11.59
Czechia,2021-03-01,1240051,10708982,11.58
Andorra,2021-01-15,8946,77265,11.58
Slovenia,2021-04-30,240292,2078932,11.56
"San Marino",2021-03-06,3922,33938,11.56
"San Marino",2021-03-07,3922,33938,11.56
Czechia,2021-02-28,1235480,10708982,11.54
Montenegro,2021-02-22,72395,628062,11.53
Bahrain,2021-05-13,196105,1701583,11.52
Slovenia,2021-04-29,239339,2078932,11.51
"San Marino",2021-03-05,3896,33938,11.48
Andorra,2021-01-14,8868,77265,11.48
Slovenia,2021-04-28,238421,2078932,11.47
Czechia,2021-02-27,1227595,10708982,11.46
Montenegro,2021-02-21,71995,628062,11.46
Slovenia,2021-04-27,238023,2078932,11.45
Maldives,2021-05-28,61844,540542,11.44
Bahrain,2021-05-12,194289,1701583,11.42
Andorra,2021-01-13,8818,77265,11.41
Slovenia,2021-04-26,237219,2078932,11.41
Slovenia,2021-04-25,237028,2078932,11.40
Montenegro,2021-02-20,71593,628062,11.40
"San Marino",2021-03-04,3867,33938,11.39
Slovenia,2021-04-24,236613,2078932,11.38
Slovenia,2021-04-23,235711,2078932,11.34
Seychelles,2021-05-27,11145,98340,11.33
Seychelles,2021-05-28,11145,98340,11.33
Seychelles,2021-05-29,11145,98340,11.33
Seychelles,2021-05-30,11145,98340,11.33
Bahrain,2021-05-11,192750,1701583,11.33
Czechia,2021-02-26,1212780,10708982,11.32
Montenegro,2021-02-19,71112,628062,11.32
Slovenia,2021-04-22,234811,2078932,11.29
"San Marino",2021-03-03,3829,33938,11.28
Maldives,2021-05-27,60943,540542,11.27
Slovenia,2021-04-21,234067,2078932,11.26
Montenegro,2021-02-18,70658,628062,11.25
Andorra,2021-01-12,8682,77265,11.24
Bahrain,2021-05-10,191018,1701583,11.23
Luxembourg,2021-06-07,70256,625976,11.22
Luxembourg,2021-06-04,70182,625976,11.21
Luxembourg,2021-06-05,70182,625976,11.21
Luxembourg,2021-06-06,70182,625976,11.21
Slovenia,2021-04-20,233031,2078932,11.21
Luxembourg,2021-06-03,70088,625976,11.20
Luxembourg,2021-06-02,70027,625976,11.19
Czechia,2021-02-25,1198168,10708982,11.19
Luxembourg,2021-06-01,69983,625976,11.18
Luxembourg,2021-05-31,69932,625976,11.17
"San Marino",2021-03-02,3791,33938,11.17
Montenegro,2021-02-17,70174,628062,11.17
Slovenia,2021-04-19,232311,2078932,11.17
Slovenia,2021-04-18,232071,2078932,11.16
Luxembourg,2021-05-28,69830,625976,11.16
Luxembourg,2021-05-29,69830,625976,11.16
Luxembourg,2021-05-30,69830,625976,11.16
Luxembourg,2021-05-27,69749,625976,11.14
Slovenia,2021-04-17,231593,2078932,11.14
Luxembourg,2021-05-26,69669,625976,11.13
Bahrain,2021-05-09,189356,1701583,11.13
Luxembourg,2021-05-25,69579,625976,11.12
Luxembourg,2021-05-21,69545,625976,11.11
Luxembourg,2021-05-22,69545,625976,11.11
Luxembourg,2021-05-23,69545,625976,11.11
Luxembourg,2021-05-24,69545,625976,11.11
Montenegro,2021-02-16,69770,628062,11.11
Andorra,2021-01-09,8586,77265,11.11
Andorra,2021-01-10,8586,77265,11.11
Andorra,2021-01-11,8586,77265,11.11
Slovenia,2021-04-16,230826,2078932,11.10
Luxembourg,2021-05-20,69465,625976,11.10
Luxembourg,2021-05-19,69398,625976,11.09
Luxembourg,2021-05-18,69239,625976,11.06
Czechia,2021-02-24,1184352,10708982,11.06
Slovenia,2021-04-15,229967,2078932,11.06
Luxembourg,2021-05-17,69190,625976,11.05
"San Marino",2021-03-01,3746,33938,11.04
Bahrain,2021-05-08,187905,1701583,11.04
Montenegro,2021-02-15,69294,628062,11.03
Maldives,2021-05-26,59644,540542,11.03
Slovenia,2021-04-14,229076,2078932,11.02
Luxembourg,2021-05-14,68922,625976,11.01
Luxembourg,2021-05-15,68922,625976,11.01
Luxembourg,2021-05-16,68922,625976,11.01
Andorra,2021-01-08,8489,77265,10.99
Luxembourg,2021-05-12,68748,625976,10.98
Luxembourg,2021-05-13,68748,625976,10.98
